match_id,seed,winner,ticks,a1_aggression,a1_depth,a2_aggression,a2_depth,agent1_SCAVENGE_freq,agent1_FIGHT_freq,agent2_SCAVENGE_freq,agent2_FIGHT_freq
1,1000,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
2,1001,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
3,1002,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
4,1003,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
5,1004,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
6,1005,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
7,1006,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
8,1007,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
9,1008,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
10,1009,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
11,1010,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
12,1011,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
13,1012,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
14,1013,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
15,1014,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
16,1015,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
17,1016,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
18,1017,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
19,1018,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
20,1019,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
21,1020,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
22,1021,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
23,1022,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
24,1023,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
25,1024,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
26,1025,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
27,1026,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
28,1027,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
29,1028,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
30,1029,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
31,1030,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
32,1031,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
33,1032,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
34,1033,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
35,1034,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
36,1035,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
37,1036,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
38,1037,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
39,1038,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
40,1039,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
41,1040,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
42,1041,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
43,1042,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
44,1043,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
45,1044,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
46,1045,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
47,1046,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
48,1047,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
49,1048,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
50,1049,1,9,0.5,1,0.5,1,0.111,0.889,0.111,0.778
51,1050,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
52,1051,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
53,1052,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
54,1053,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
55,1054,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
56,1055,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
57,1056,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
58,1057,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
59,1058,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
60,1059,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
61,1060,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
62,1061,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
63,1062,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
64,1063,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
65,1064,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
66,1065,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
67,1066,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
68,1067,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
69,1068,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
70,1069,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
71,1070,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
72,1071,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
73,1072,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
74,1073,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
75,1074,1,9,0.9,1,0.2,1,0.111,0.889,0.111,0.778
76,1075,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
77,1076,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
78,1077,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
79,1078,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
80,1079,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
81,1080,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
82,1081,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
83,1082,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
84,1083,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
85,1084,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
86,1085,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
87,1086,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
88,1087,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
89,1088,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
90,1089,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
91,1090,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
92,1091,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
93,1092,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
94,1093,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
95,1094,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
96,1095,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
97,1096,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
98,1097,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
99,1098,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
100,1099,1,9,0.5,2,0.5,1,0.111,0.889,0.111,0.778
